Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9
136,61.8,30.4,14.1,43.6,30.0,44.1,24.5,148.3,24.3,20.1
137,39.2,18.2,12.9,41.2,16.0,43.9,23.2,130.6,24.6,19.6
138,41.9,22.5,12.4,48.1,21.9,44.1,21.6,100.5,31.8,20.3
139,38.7,26.4,13.3,49.5,51.8,33.8,20.1,64.4,41.3,21.3
140,50.5,22.5,12.2,40.8,74.2,36.1,36.4,61.9,26.9,21.6
141,52.0,25.7,12.7,45.0,64.7,31.2,44.7,52.0,38.4,19.3
142,45.8,26.0,11.9,40.4,40.3,30.9,54.5,67.0,37.1,23.7
143,31.6,31.3,12.2,38.2,23.9,34.4,47.9,52.9,35.4,32.4
144,26.1,32.0,11.6,40.5,18.3,32.8,38.3,70.3,27.4,22.4
145,37.7,35.5,12.0,35.2,32.2,28.7,43.7,72.5,25.1,19.4
146,25.0,38.5,11.8,25.8,53.8,35.0,37.1,64.6,24.6,21.2
147,18.4,36.6,11.3,17.8,71.2,34.8,52.0,81.8,25.2,18.8
148,30.3,26.2,12.4,13.6,59.5,31.5,46.4,84.1,21.0,21.2
149,32.4,39.8,11.7,16.8,59.5,35.6,33.6,165.1,25.4,18.4
150,28.8,36.3,11.7,37.9,49.7,35.7,47.5,110.7,26.6,22.7
151,28.6,26.1,13.1,39.9,27.8,39.3,31.8,115.3,46.1,17.9
152,28.6,43.3,13.5,39.7,27.5,34.5,31.8,95.8,50.8,19.9
153,26.2,38.7,13.9,33.8,22.4,30.7,37.4,79.8,57.8,20.0
154,39.3,32.9,11.6,31.6,28.0,32.8,50.3,121.4,41.4,17.4
155,59.0,27.5,13.1,25.5,41.9,42.1,24.4,53.8,49.7,17.8
156,53.3,61.0,12.6,29.5,76.1,27.5,19.1,61.7,35.5,19.9
157,35.8,43.3,13.0,35.3,60.1,31.3,22.7,50.7,51.3,21.6
158,24.5,38.3,12.6,33.6,51.7,25.1,27.4,49.1,32.9,19.4
159,29.6,31.4,13.2,38.7,21.8,24.4,19.7,47.6,32.4,19.4
160,31.7,40.4,13.1,29.2,18.4,22.5,26.3,45.3,33.8,21.9
161,28.3,31.1,13.1,47.8,23.9,19.3,44.2,59.0,42.0,17.9
162,22.8,41.2,13.0,39.9,35.5,26.4,45.2,63.7,32.6,22.7
163,24.6,34.4,13.2,24.3,49.7,24.6,41.4,72.0,34.7,27.0
164,18.2,38.3,13.1,28.8,63.1,31.1,34.6,79.4,37.1,21.0
165,34.1,32.8,13.2,29.7,54.9,23.4,41.2,69.1,31.7,20.2
166,32.3,48.2,12.9,28.9,40.5,29.5,66.2,83.3,31.6,20.6
167,46.5,40.0,13.4,29.6,48.1,31.1,59.4,72.4,32.3,21.7
168,34.8,42.8,13.4,40.7,52.4,38.3,57.2,48.6,34.9,19.8
169,23.9,40.1,14.0,30.4,40.5,39.0,38.2,33.9,27.6,19.6
170,18.7,47.2,12.6,19.2,51.5,38.8,18.8,32.6,26.9,20.5
171,29.3,60.2,14.5,16.0,57.0,39.9,16.9,29.3,30.4,25.3
172,51.0,45.2,13.0,16.0,45.4,34.5,30.2,30.4,24.4,20.6
173,55.9,44.4,13.8,15.7,39.4,38.1,49.0,31.7,24.6,20.1
